	gt	ms_total
0	36	0.016803877194694148
1	42	0.041630914339225056
2	33	0.029950482074156015
3	45	0.038960668856804055
4	59	0.03754220238200459
5	59	0.0329144445661988
6	46	0.018940599561991022
7	52	0.016316810034066962
8	11	0.037398463630372504
9	33	0.012566493751909222
10	19	0.011922506630691783
11	19	0.01112609523164716
12	22	0.018411611075440978
13	47	0.01831903723980306
14	54	0.02455817746938328
15	48	0.018386994408856997
16	62	0.021255827193448703
17	60	0.04193952789272879
18	62	0.04971576985278262
19	26	0.018344650555455595
20	22	0.012870213156444293
21	89	0.02461110333519283
22	52	0.022934936262078976
23	89	0.06471757491195122
24	68	0.01987179262385676
25	82	0.0312365371815289
26	71	0.0403219399542472
27	86	0.0328805218016486
28	80	0.03207912339792705
29	54	0.05290536462419474
30	34	0.07225908029426753
31	77	0.05486805278594726
32	69	0.028813362333668577
33	18	0.016904572385179836
34	40	0.025876330783992527
35	16	0.014701044525706494
36	48	0.030136158413568755
37	89	0.020852281080539218
38	70	0.012652733516752205
39	50	0.009829718917105877
40	76	0.021499156225486763
41	83	0.045586586790451696
42	40	0.04648832814309873
43	56	0.03515090784673236
44	47	0.04018246313245404
45	65	0.01769487797355149
46	72	0.01997635922969461
47	29	0.02154210507815575
48	25	0.021367983850252265
49	28	0.008530906579715265
50	22	0.034858077488776305
51	21	0.02013064045433879
52	82	0.035652915770497375
53	4	0.014572349727277426
54	50	0.03338301363004778
55	82	0.03242891472255256
56	31	0.02616219473969406
57	24	0.0344416719132745
58	65	0.0456874994645857
59	68	0.03655544624219682
60	64	0.04396123113236678
61	100	0.039991302489022114
62	69	0.028980138544743374
63	73	0.03808547281292668
64	44	0.019932485324117014
65	65	0.01621663892150952
66	32	0.014661321765813874
67	75	0.021218762225646805
68	44	0.019383988900468378
69	82	0.043113251489935354
70	86	0.03552521202360922
71	25	0.010311419529968795
72	0	0.011176873232103436
73	15	0.03059566325948844
74	8	0.016882644694521276
75	26	0.023592768467857118
76	54	0.03603659747318413
77	22	0.021957895785667318
78	50	0.03545320160112658
79	36	0.0220250535972154
80	45	0.04268750638415512
81	34	0.021216621855384196
82	64	0.0319993047343654
83	2	0.03768074656246615
84	14	0.018806037138388226
85	48	0.04483734085265859
86	33	0.053923033453666024
87	39	0.05720297029086458
88	36	0.06852243514495472
89	79	0.023365579961912925
90	14	0.01655172088578219
91	42	0.04602952075844192
92	34	0.03561903276911875
93	50	0.027716801910627947
94	14	0.04472995014149472
95	43	0.04861405217736461
96	58	0.021266721687888273
97	40	0.016650313092152567
98	24	0.016039835978950315
99	91	0.017388078498643374
100	73	0.019201563794021603
101	46	0.025434026186385225
102	72	0.027173644986167107
103	71	0.015596840735489325
104	71	0.03052439290637884
105	67	0.025880272210004263
106	73	0.02586478211693539
107	68	0.06891863876015863
108	24	0.048046440944002455
109	32	0.023530112562601856
110	49	0.01746410722688985
111	30	0.022257742260716095
112	19	0.020962519756700503
113	47	0.03662465370069173
114	20	0.04459344945080087
115	11	0.04045953303051317
116	21	0.03561864916070142
117	7	0.03531781317259384
118	2	0.02168355074761215
119	7	0.06224310925827353
120	64	0.03905038534532303
121	31	0.011124196854651403
122	38	0.012750165468954142
123	65	0.026374431848562533
124	21	0.011722686344184038
125	55	0.009606349003427078
126	32	0.01951739243033968
127	42	0.014315851050920224
128	82	0.033815862683620364
129	87	0.028213203394106236
130	45	0.016230941027934737
131	15	0.010473174935847282
132	35	0.013287489212316888
133	46	0.028098094046174166
134	82	0.04385493304001814
135	23	0.008886585267011362
136	51	0.014907223659690924
137	52	0.01464895947773831
138	10	0.00868594556371456
139	41	0.036757675433403074
140	54	0.029837344001910914
141	8	0.029360701693084263
142	51	0.03954842697778382
143	40	0.0403005319817887
144	38	0.027720601826653906
145	67	0.02413275558684032
146	55	0.03447734184121815
147	70	0.02534629557661018
148	44	0.02709590133659243
149	71	0.02615487839239337
150	53	0.04312008528726005
151	46	0.031911433049053466
152	77	0.04160634862683973
153	47	0.01827394898017101
154	45	0.01985431410788359
155	65	0.024202276839881316
156	86	0.03314355242365444
157	89	0.03766486782046335
158	63	0.016455706578165346
159	46	0.019577390599302778
160	23	0.02414955424793118
161	83	0.05429663756091652
162	42	0.03224461198281703
163	33	0.010938899119573594
164	27	0.011125461436042794
165	83	0.03434631382219569
166	41	0.016845977914807422
167	16	0.007519825199821213
168	31	0.018673236494127127
169	33	0.01478376850702289
170	50	0.02140993852659361
171	61	0.027140791379167816
172	43	0.014063786804621692
173	63	0.016162556923967498
174	54	0.028260877049742478
175	62	0.018779065144966956
176	34	0.04909771913816809
177	19	0.025590513564854214
178	87	0.036873084059871185
179	71	0.0240662823733544
180	45	0.017728458103031187
181	31	0.013058117154586291
182	37	0.028801787344044306
183	87	0.029310740704892535
184	55	0.016976755280805982
185	60	0.017655252969027372
186	80	0.035461282946976376
187	89	0.032392246876343365
188	22	0.020143493654077166
189	48	0.025665391482223077
190	7	0.005811418432442553
191	13	0.01661389375976333
192	22	0.011527797381042086
193	53	0.01570687912492548
194	34	0.017221936491409535
195	21	0.016555308237043737
196	48	0.04614514838474543
197	73	0.03130897325761658
198	60	0.0471130879626937
199	28	0.02564064221136784
200	62	0.06177281715880072
201	53	0.03520761130636207
202	36	0.019256572259881335
203	19	0.01202846381157741
204	22	0.012781767884458116
205	38	0.014785464333227803
206	12	0.011385091923678576
207	18	0.016513674949345702
208	59	0.03026476513950864
209	39	0.03959142881776243
210	4	0.03011944116664081
211	72	0.025165069669209422
212	38	0.02633745442178452
213	30	0.012525693869554703
214	60	0.022348351714192916
215	36	0.04553212950445684
216	36	0.0547813502598141
217	34	0.02732216889851194
218	8	0.021589620031585727
219	39	0.040277292605091636
220	12	0.028392318284402297
221	21	0.021383245289734065
222	10	0.017318507318860477
223	60	0.04873288816301231
224	6	0.026515199187325242
225	57	0.09085490559485233
226	34	0.022423684238793287
227	6	0.007114516607905289
228	9	0.01767169314293106
229	19	0.038947159395813065
230	67	0.014835135425093017
