,gt,ms_total,0.415715011931069,frac,local_max,local_min,2parts,1.11981880013218,1.25399414512947,1.40424621897166,1.57250131601899,1.76091653691066,1.9719074434962,2.20817902734762,2.47276038888146,2.76904357169161,3.10082704996542,3.47236442650967,3.88841896571572,4.35432466059898,4.8760546168179,5.46029763038399,6.11454394082117,6.84718125916584,7.66760230192662,8.5863252096342
0,97,0.11313334288272,0.272141586509459,0.085406107962775,3,4,0.33940002864816,0.027727234919945,0.002991444783395,0.003510708178473,0.003922715071695,0.003347324018532,0.003460963050029,0.003605797777976,0.003784236793872,0.004346651122781,0.004691417357104,0.005097698888931,0.005539761721283,0.005848419712306,0.006282856836169,0.005887669234838,0.004702427181147,0.003853799058624,0.005319024690077,0.009213192485543
1,89,0.073681858622063,0.177241274689113,0.03459148396991,3,4,0.221045575866188,0.039090374652153,0.001865225007462,0.0018090440937,0.001606629815386,0.001641743812091,0.001338191428901,0.001040232293173,0.000828714041125,0.000560309281223,0.000313512334817,0.000790079605596,0.00111315260004,0.000939158265511,0.001596492333146,0.001715236018813,0.00237644548583,0.00377657575873,0.005208319155822,0.006072422638543
2,98,0.161925506789958,0.389510847919073,0.125757587237029,2,3,0.323851013579917,0.036167919552929,0.004908602178497,0.00528450367957,0.005617712240155,0.005311637764553,0.005352480472672,0.005535865521742,0.005750445290831,0.005977179711733,0.006223559949548,0.006235470094511,0.006418863355453,0.006829467270208,0.007472905402952,0.008306989316701,0.008997375956226,0.009831965080975,0.01035888171833,0.011343682232373
3,98,0.056099974797568,0.13494815724112,0.047076535811881,4,4,0.224399899190271,0.009023438985687,0.002014118676645,0.00214366442244,0.001884979096814,0.00157670058457,0.001638635622275,0.00213963794895,0.002000088510939,0.001808419522949,0.001624583158944,0.000805620338657,0.002333229231906,0.005838164941225,0.006403595859668,0.004898840349916,0.004149677643674,0.003080605025511,0.002127124398524,0.000608850478274
4,44,0.115405503338455,0.277607255033625,0.03998566092848,4,5,0.461622013353819,0.075419842409974,0.002756152034421,0.003198843910821,0.002799306562972,0.001195300023884,0.001054251925053,0.001015042600625,0.001008561553329,0.001396930067507,0.001803040225395,0.002167536945026,0.002452424172944,0.002553003090134,0.002514929956956,0.002527280005204,0.002346825120891,0.002370042816685,0.002890629102074,0.00393556081456
5,8,0.170938525088858,0.411191610076379,0.052215172447979,4,5,0.68375410035543,0.118723352640878,0.005142129729016,0.004360745437082,0.005370065321237,0.005746652341857,0.00247869662467,0.001132323603193,0.000817627494111,0.001318447030784,0.001309204440232,0.000631442636099,0.001069489170889,0.001546733118034,0.00220621223256,0.002986608984976,0.003695478262346,0.003346650596534,0.004168484556254,0.004888180868106
6,19,0.238268970484446,0.573154597852132,0.230349655762815,2,3,0.476537940968893,0.007919314721631,0.004453241328905,0.006885798380489,0.008378370262918,0.01057934303218,0.012610043706859,0.014176977201251,0.015152791802917,0.01646072181791,0.017434745154052,0.01774985381579,0.015428902261591,0.013741805822264,0.01183631895523,0.01239733422323,0.012753183008277,0.013335022101778,0.01339868208312,0.013576520804055
7,8,0.105630205904238,0.254092834929312,0.042344245561054,4,5,0.422520823616953,0.063285960343185,0.005409416057242,0.00559563827777,0.003398619703466,0.003378074310739,0.004142610269083,0.002468245253273,0.002451484822203,0.002417286944747,0.001994482007772,0.002343518735763,0.002429104753742,0.00217728361128,0.000992664490131,0.000521974258785,0.00035602273959,0.000456651562021,0.000727528707697,0.00108363905575
8,2,0.119044862330327,0.286361711542103,0.093824419072088,3,3,0.357134586990981,0.025220443258239,0.002139531719481,0.001929231936045,0.002234590671393,0.002484230077359,0.002524660861187,0.002244363787839,0.000519405912544,0.001122346934821,0.001621768968635,0.00201453415373,0.003745638867502,0.004705702313269,0.007473832079444,0.009743292683797,0.011625595685499,0.012601643012026,0.013377777985251,0.011716271422266
9,28,0.092892980181994,0.223453513863957,0.026139065269052,5,6,0.46446490090997,0.066753914912942,0.003299171616344,0.001367247579391,0.001662657261618,0.001485044344094,0.000790963369845,0.000956113237496,0.000743196081102,0.000709536504673,0.001001717096224,0.001483368882932,0.001750646426118,0.00168339399897,0.001775019828076,0.001576811881199,0.001055208673389,0.001306045737734,0.001563581117574,0.001929341632274
10,58,0.301160718114437,0.724440324431617,0.256197571612415,4,4,1.20464287245775,0.044963146502022,0.003711752229315,0.003716905598781,0.003230092285308,0.0058288754658,0.010446044646954,0.015319224953898,0.023930028204463,0.035101040953494,0.020508569889477,0.008122413468859,0.010972403956705,0.013656368212762,0.015990058149334,0.018003914131954,0.019232053784834,0.020039619005677,0.018377371674675,0.010010835000124
11,14,0.183377097218657,0.441112521693258,0.106870546503111,4,4,0.733508388874627,0.076506550715546,0.009914173108898,0.007959863789958,0.009907967911872,0.011486060642282,0.008438111474263,0.007688575360281,0.008649400182504,0.006935781956978,0.006095546797876,0.005257475141346,0.002090921557153,0.001808118359166,0.002423562084679,0.0032078085709,0.004027911616326,0.005695276128465,0.002693365020062,0.002590626800102
12,41,0.069362332650414,0.166850680537644,0.041437436867317,2,3,0.138724665300828,0.027924895783097,0.000763045726094,0.000414028619566,0.000286066766358,0.00077542823993,0.001019077237755,0.001109510554321,0.002218571894695,0.002953011202835,0.004242092475662,0.004934990199108,0.003717342200918,0.001247926962311,0.001377752877152,0.001598639876986,0.002379610343729,0.003093953145831,0.004299035551704,0.005007352992363
13,17,0.117741350164128,0.283226120743628,0.047347057766347,1,2,0.117741350164128,0.070394292397781,0.000499258687623,0.000664823792632,0.00099509041704,0.001335488459955,0.001441420472302,0.001632034829234,0.001855566317004,0.002133948191436,0.002376379257888,0.002609971932608,0.002826011163006,0.002988291962672,0.003299236332007,0.003640980327154,0.003932853533444,0.004386199786234,0.004899747385727,0.00582975491838
14,15,0.109589564859478,0.263617049455142,0.090696404875077,4,5,0.438358259437911,0.018893159984401,0.012006997003314,0.00882824635706,0.01148700311768,0.016801007002969,0.006386453503316,0.003662969205623,0.003130063530062,0.001777973988498,0.002274469241731,0.001781472832062,0.002069973541129,0.003234366205441,0.002679548366412,0.001620906294206,0.001459945477129,0.002080487352258,0.003814064541942,0.005600457314245
15,32,0.135259653327452,0.3253662952876,0.061544386961025,3,4,0.405778959982357,0.073715266366428,0.009443464789432,0.009530582913171,0.008083664549844,0.007486084176722,0.007173547586395,0.005855263248319,0.001883777896944,0.0008288864127,0.000691764830003,0.00063112889846,0.000641600983256,0.000802129027276,0.001011625655642,0.001287682588743,0.001549298940786,0.001351216392521,0.001627744648473,0.001664923422339
16,45,0.086413306512747,0.207866697214859,0.052875069777474,4,5,0.345653226050988,0.033538236735273,0.003250480680123,0.003075900727624,0.002549244027469,0.002441136989149,0.00153970758942,0.000997214986043,0.001169425057319,0.000615103876604,0.001147896025059,0.001556758763949,0.001463223158935,0.001898077676862,0.004065635286503,0.006565021423169,0.00344318185356,0.004679763375701,0.005319626832242,0.007097671447744
17,0,0.050077723654662,0.120461667771009,0.023894913573889,2,3,0.100155447309323,0.026182810080773,0.000677403162189,0.000793252924188,0.000890317037342,0.000864370345337,0.000761914135609,0.00063453257703,0.000624201696416,0.000585013906139,0.000498061845861,0.000359463917539,0.000895196419199,0.001199567334844,0.001646987824882,0.002088482021035,0.002290046913421,0.002620275150589,0.003011416062505,0.003454410299765
18,2,0.031736457469419,0.076341860550086,0.021434049234967,2,3,0.063472914938838,0.010302408234452,0.00063919560967,0.00074953814717,0.000771930666739,0.000739882403733,0.000679773060491,0.000583602120009,0.000423419871752,0.000102690148045,0.000270393418872,0.000506057475833,0.000809041475285,0.001100251298682,0.001415594116635,0.001746475578709,0.002166565307663,0.002506574713391,0.002869994495761,0.003353069326527
